,Unnamed: 0.1,Unnamed: 0,Reviews,Years,Reviews in English,Score sentiment,Language,Communication issue,time issue,staff issue,Time issue,Staff issue,Technical issue,Policy issue
0,0,0,"Поддержка онлайн не работает вне рабочего времени. Выдают вывод с счета и справки только в рабочее время. 24 офис работает в основном как обменник. Непонятные банковские комисии, приходится гадать за что вычли очередную комиссию. При оплате блокируется сумма больше чем сама оплата. Возвращают сумму только после проведения операции. Операцию проводят через пару дней. Если курс должен взлететь, они дождутся, что бы он взлетел, и только потом проведут операцию. Непонятно зачем, требуется столько времени для проведения операции, если все должно быть автоматизировано. Карточки Visa Electron очень не качественные, начинают разлогатся в прямом смысле после года использования. Являюсь клиентом, но вынужден по многим причинам обращаться к другим банкам.",1/1/2019,"Online support does not work outside business hours. They issue withdrawals from the account and certificates only during working hours. Office 24 works mainly as an exchange office. Incomprehensible bank commissions, one has to guess for what the next commission was deducted. When paying, an amount greater than the payment itself is blocked. The amount is returned only after the transaction. The operation is carried out in a couple of days. If the course is supposed to take off, they will wait for it to take off, and only then will they carry out the operation. It is not clear why, it takes so much time to carry out the operation, if everything should be automated. Visa Electron cards are of very poor quality, they begin to decompose in the literal sense after a year of use. I am a client, but for many reasons I have to turn to other banks.",0.0,ru,True,True,True,True,True,True,True
1,1,1,"9 сентября пришёл обновить свою пластиковую карту, так как срок использования прошёл. Сказали, что максимум в течении трёх дней карту можно будет забрать. Прошло более МЕСЯЦА, и никаких известий. Сегодня пришёл, сначала мне сказали, что никакой карты я не заказывал, потом сказали, что карта не пришла с Azericard, потом сказали, что карта все таки активирована. Они мне даже отказывались выдавать деньги, которые были на карте. Прошу работников быть более внимательными. Я точно больше в ваш банк не приду. Другие банки в тот же день выдают пластиковые карты. Никому не советую использовать Expressbank!!!",1/1/2019,"On September 9, I came to renew my plastic card, as the expiration date had passed. They said that the card can be picked up within a maximum of three days. More than a MONTH passed and no news. Today I came, at first they told me that I did not order any card, then they said that the card did not come with Azericard, then they said that the card was still activated. They even refused to give me the money that was on the card. I ask workers to be more careful. I will definitely not visit your bank again. Other banks issue plastic cards on the same day. I do not advise anyone to use this bank!!!",0.0,ru,False,False,True,False,True,False,False
2,2,2,"Kart sifarişimi götürmək üçün Nəsimi filialina yaxınlaşdım. Məndə online kart sifarişi idi. Filialda iki əməkdaş oturub, biri yeni işçiyə oxşayır çünki bir sualı 5 dəfə verir. Yanındakı gah xanım qarışır söhbətə. Karti götürmüşəm, mobile banking işləmir. Ümumiyyətlə peşiman oldum. Reklam etməklə deyil, bir mobile banking işləmirsə, daha sözüm yoxdur.",1/1/2021,"I approached the Nasimi branch to pick up my card order. I had an online card order. Two employees are sitting in the branch, one of them looks like a new employee because he asks the same question 5 times. Sometimes the lady next to him joins the conversation. I took the card, mobile banking does not work. In general, I regretted. If a mobile banking does not work. I have no more words. Everything is not in your advertising.",0.0,az,True,False,True,True,True,True,False
3,3,3,"Hər şeyi başa düşürəm, 90 dəqiqədir gözləyirəm bu xarabaya qalmış bankda . Susuzdan yanır millət. Qabda su ola ola bir stəkan yoxdur ki millət su içsin .
Vallah belə olmaz.
Ancaq masa 14, 15 işləyir. Qalan masalar elə bil işləmir.
Adama o təsir edir ki, o qədər milyonlarla pul gedir gəlir. Amma bədbəxt bu bankda su içməyə su stəkanı nə olan şeydir yoxdur.
Buna heç 1 ulduz da düşmür.",1/1/2020,"I understand everything, I have been waiting for 90 minutes in this ruined bank. The nation is burning with thirst. There is no glass, so that the people can drink water.
By God, it won't happen.
But table 14, 15 works. The rest of the tables don't seem to work.
It affects the person that so many millions of money come and go. But unfortunately, this bank does not have a glass of water for drinking.
It doesn't deserve 1 star.",0.0,az,False,True,False,True,False,True,False
4,4,4,"Отвратительный сервис. Перед поездкой специально звонила в банк, узнавала, не будет ли проблем при оплате картой. Уверили,что никаких ограничений нет, и с оплатами не будет проблем. В результате в Праге осталась без денег, можно сказать, потому что картой расплатиться было невозможно. Вся помощь, какую оказали сотрудники банка: с картой проблем нет, попробуйте ещё раз оплатить,проверьте в другом месте. Ага, покупать я буду в одном магазине, а платить в другом, так по вашему? Это раз.
Два - за границей снятую неверно сумму вернули в течение двух дней, а ваши ""работники"" два месяца не могут разобраться, почему с карты списаны деньги, если терминал выдал отказ, где эти деньги и когда вернут. Судя по всему, никогда, потому что работать не хотят или не могут. 
И при всем при этом через раз в приложении ""сервер недоступен, попробуйте позже"".
Отвратительный сервис, одним словом!
 UPD: и прекратите доставать своими кредитами! каждую неделю мало того по два раза подряд звонит автомат и присылается смс, так вдогонк...",1/1/2022,"Disgusting service. Before the trip, I specifically called the bank to find out if there would be any problems when paying with a card. They assured that there are no restrictions, and there will be no problems with payments. As a result, I was left without money in Prague, one might say, because it was impossible to pay with a card. All the help that the bank employees provided: there are no problems with the card, try paying again, check elsewhere. Yeah, I'll buy in one store and pay in another, right? This time.
Two - abroad, the incorrectly withdrawn amount was returned within two days, and your ""employees"" cannot figure out for two months why the money was debited from the card, if the terminal issued a refusal, where this money is and when it will be returned. Apparently, never, because they do not want to work or cannot.
And with all this, every other time in the application ""the server is unavailable, please try again later.""
Terrible service, to say the least!
 UPD: and stop getting your credits! ...",0.0,ru,True,False,True,False,True,True,False
5,5,5,"Ужасный сервис потратили 2 часа на получение суммы из вестерн Юнион заставили заполнять не нужную анкету с личными данными, и делать абсолютно ненужные процедуры, работники хамы. Не тратьте свое время и нервы.
Администрация не отзывчива никто разбираться с проблемой не пришел. Персонал абсолютно не квалификацированный.",1/1/2020,"Terrible service, they spent 2 hours to receive the amount from Western Union, they forced me to fill out an unnecessary form with personal data, and to do absolutely unnecessary procedures, boorish workers. Don't waste your time and nerves.
The administration is not responsive, no one came to deal with the problem. The staff is completely unqualified.",0.0,ru,False,False,True,False,True,False,False
6,6,6,"Bu bankda hər şey göstəriş üzərinə qurulub. Filial qapısından içəri keçirsənsə bütün məsələlər eladır. Amma mesafeden (online və telefon) bu bankın müştəri xidmətləri yoxdur. Bir bankın ki həftə sonlar çağrı mərkəzi işləmir, həmin banka nə deyəsən?! Bütün gün yalandan reklam edirlər özlərini. 3 gündür kartımın balansından pul çıxılır amma nə sms gəlir nə də bir xəbərdarlıq. Bunun mesuliyyetini kim daşıyır? 5 ildir fəaliyyət göstərən bankın telefon üçün tətbiqi yoxdur? Mənim 3 eded bu bankdan kartım var, bunun əvəzində gördüyüm xidmət belə olmalıdır?! Bank işi sizlik deyil!
Əlavə olaraq çağrı mərkəzlərinə zəng ediləndə yalandan deyirsiniz ki “xidmət səviyyəsinin ölçülməsi məqsədi ilə səsler qeydə alınır” amma yalan deyirsiniz. Siz o zənglərdəki danışıqları dinləsəydiniz bir nəticə çixardardınız. Imtina edirəm sizdən və sizin xidmətlərinizdən. Kartlarımı girib şeklini sizə göndərəcəm!",1/1/2017,"Everything in this bank is based on instructions. If you go through the door of the branch, all the problems are gone. But this bank does not have customer services from a distance (online and phone). A bank's call-center does not work on weekends, what do you think about that bank?! They falsely advertise themselves all day long. Money has been deducted from my card balance for 3 days, but neither SMS nor warning. Who is responsible for this? A bank that has been operating for 5 years does not have an application for the phone? I have 3 cards from this bank, should the service I get in return be like this?! Banking is not easy!
Additionally, when calling the call-center, you falsely say that ""voices are being recorded for the purpose of measuring the level of service"", but you are lying. If you had listened to the conversations in those calls, you would have drawn a conclusion. I refuse you and your services.",0.0,az,True,False,True,True,True,True,False
7,7,7,"Уже 4 недели как не могу получить карту с филиала, очередь невозможная, дозвониться до банка и попасть в нужный отдел невозможно, IVR не работает ВООБЩЕ,набираю номер просят карту и других вариантов не дают, я карту ещё не получила, что мне вводить?? !!!! Набираю наугад, говорят наберите другой добавочный, а другой блин не работает! Просто отрубается и все. Все банки в стране в период пандемии работают нормально, один Капитал до 2х часов короче уже не нужна карта эта, пусть остпылют себе, ни обратиться ни к кому невозможно, не пожаловаться(форма на сайте тоже не работает с телефона), на чат через 2 дня отвечают, это что вообще такое?",1/1/2020,"For 4 weeks now I can’t get a card from a branch, the queue is impossible, it’s impossible to get through to the bank and get to the right department, IVR doesn’t work AT ALL, I dial a number asking for a card and they don’t give other options, I haven’t received a card yet, what should I enter ?? !!!! I dial at random, they say dial another additional one, and the other pancake does not work! It just cuts off and that's it. All banks in the country are working normally during the pandemic, one Capital is up to 2 hours shorter, this card is no longer needed, let them dust themselves, it’s impossible to contact anyone, don’t complain (the form on the site also doesn’t work from the phone), chat after 2 days they answer, what is it all about?",0.0,ru,True,True,True,True,True,False,False
8,8,8,"Была в этом банке 24 июля , в филиале , который находится на улице Hidayətzadə küçəsi, 49/51 (около Фунды) . Оператор к которому мне пришлось обратиться , работал ооочень медленно , издевался над людьми , которые ждали своей очереди . Хотя , в банке было всего пару человек . Настоящий лодырь !😕 Как можно вообще брать на работу таких горе-работников , которые работать не хотят и не умеют ? 🙄
 Женщина , которая , видимо , также как и я пришла получать деньги по Western Union , столько его ждала что аж уснула ! Это надо было видеть ! Жаль что я не сфоткала её , чтобы показать наглядно как работают в этом банке что аж клиенты у них засыпают в прямом смысле этого слова . В других банках кредит и ипотеку намного быстрее оформить можно , чем в этом банке получить по денежному переводу деньги . Никому не советую обращаться туда и сама никогда больше не пойду в этот банк !",1/1/2020,"I was in this bank on July 24, in a branch located on Hidayatzada street, 49/51 (near Funda). The operator I had to turn to was sooo slow, bullying people who were waiting in line. Although, there were only a couple of people in the bank. A real loafer! How can you hire such unfortunate workers who don’t want to work and don’t know how to work? 
 A woman who, apparently, just like me, came to receive money via Western Union, was waiting for him so much that she fell asleep! It had to be seen! It’s a pity that I didn’t take a picture of it to show clearly how they work in this bank, that even their clients fall asleep in the truest sense of the word. In other banks, you can get a loan and a mortgage much faster than you can receive money by money transfer in this bank. I would not recommend this bank to anyone and will never go to this bank again!",0.0,ru,True,True,True,True,True,True,True
9,9,9,"Çox bərbad xidmət. 2 saat məni gözlətdilər plastik kart almaq üçün. Halbuki, səhərdən online sifariş vermişəm və təcili hazırlanması üçün əlavə 10 manat ödəyəkdim. 2 saatdan sonra Nesimi filial rəhbəri yaxınlaşdı. dedi ki sistemdə problem var 10 dəqiqəyə kartınız verilecek. O da məni aldatdı. 2 saat 45 dəqiq keçdi. Mənə dedilər ki sistemdə problem var , kartı verə bilmirik. Ləğv elətdirdim. Bundan əlavə saat 6-dan sonra ki reseptionda əyləşən işçi müştərilərlə çox kobud rəftar etdi. Bankın statusunu çox aşağı salır Nəsimi filialı.",1/1/2020,"Very poor service. They made me wait for 2 hours to buy a plastic card. However, I ordered online in the morning and would pay an additional 10 manats for urgent preparation. After 2 hours, I was approached by the head of the branch. He said that there is a problem in the system and your card will be given in 10 minutes. He also cheated on me. Exactly 2 hours and 45 minutes passed. They told me that there is a problem in the system, we cannot issue the card. I canceled it. In addition, the employee sitting at the reception after 6 o'clock behaved very rudely with the customers. Nasimi branch greatly lowers the status of the bank.",0.0,az,True,True,True,True,True,True,False
